date,max_lifespan,n_bars,total_persistence
2005-07-31,0.03983341157436371,5,0.09428693354129791
2005-08-31,0.049816712737083435,4,0.10226482152938843
2005-09-30,0.05537152290344238,3,0.09780074656009674
2005-10-31,0.03983341157436371,2,0.04242922365665436
2005-11-30,0.03983341157436371,2,0.04242922365665436
2005-12-31,0.03983341157436371,3,0.055016934871673584
2006-01-31,0.03983341157436371,3,0.055016934871673584
2006-02-28,0.03983341157436371,3,0.055016934871673584
2006-03-31,0.03983341157436371,4,0.06670208275318146
2006-04-30,0.04055255651473999,5,0.0762469470500946
2006-05-31,0.01326821744441986,5,0.04086644947528839
2006-06-30,0.02102804183959961,6,0.06118828058242798
2006-07-31,0.02102804183959961,7,0.06470680236816406
2006-08-31,0.02102804183959961,8,0.06671002507209778
2006-09-30,0.02102804183959961,8,0.06517331302165985
2006-10-31,0.02102804183959961,9,0.07085150480270386
2006-11-30,0.02102804183959961,8,0.06517331302165985
2006-12-31,0.02102804183959961,7,0.0625775009393692
2007-01-31,0.026785120368003845,7,0.08889611065387726
2007-02-28,0.02102804183959961,8,0.09927698224782944
2007-03-31,0.02102804183959961,9,0.10439103096723557
2007-04-30,0.02102804183959961,8,0.09927698224782944
2007-05-31,0.024773433804512024,7,0.10299902409315109
2007-06-30,0.020948871970176697,6,0.07822559028863907
2007-07-31,0.020948871970176697,5,0.07470706850290298
2007-08-31,0.07615417242050171,6,0.1508612409234047
2007-09-30,0.07615417242050171,5,0.13827352970838547
2007-10-31,0.07615417242050171,4,0.12357596307992935
2007-11-30,0.07615417242050171,4,0.12652426213026047
2007-12-31,0.07615417242050171,3,0.11332016438245773
2008-01-31,0.07615417242050171,3,0.11332016438245773
2008-02-29,0.07615417242050171,3,0.11332016438245773
2008-03-31,0.07615417242050171,3,0.11332016438245773
2008-04-30,0.07615417242050171,3,0.11688882857561111
2008-05-31,0.2563984990119934,2,0.3325526714324951
2008-06-30,0.20471638441085815,3,0.30156898498535156
2008-07-31,0.19796305894851685,3,0.3180319666862488
2008-08-31,0.15337532758712769,4,0.28167957067489624
2008-09-30,0.12314814329147339,4,0.2531324177980423
2008-10-31,0.10622698068618774,5,0.28019358217716217
2008-11-30,0.10622698068618774,4,0.2869537025690079
2008-12-31,0.10622698068618774,4,0.19781461358070374
2009-01-31,0.10622698068618774,4,0.22465559840202332
2009-02-28,0.10622698068618774,3,0.1693113148212433
2009-03-31,0.10622698068618774,3,0.13120073080062866
2009-04-30,0.10622698068618774,3,0.13120073080062866
2009-05-31,0.02224975824356079,3,0.03746122121810913
2009-06-30,0.02224975824356079,3,0.03746122121810913
2009-07-31,0.028953254222869873,4,0.066414475440979
2009-08-31,0.039823561906814575,5,0.09526723623275757
2009-09-30,0.039823561906814575,5,0.09526723623275757
2009-10-31,0.039823561906814575,5,0.09526723623275757
2009-11-30,0.03818462789058685,4,0.0929265171289444
2009-12-31,0.04372875392436981,4,0.09847064316272736
2010-01-31,0.04372875392436981,5,0.11383120715618134
2010-02-28,0.04372875392436981,5,0.11383120715618134
