,M2_over_GDP,omega
2009-03-01,0.5834305717619603,19.999999470755203
2009-04-01,0.5865102639296187,17.707753721809766
2009-05-01,0.586281024037522,15.06309614947628
2009-06-01,0.5860519632740769,13.611804075553334
2009-07-01,0.5858230814294083,13.60873305089942
2009-08-01,0.5839984426708195,13.788757058925404
2009-09-01,0.5821851348728896,15.314494074749318
2009-10-01,0.5803830528148578,13.87932120106628
2009-11-01,0.5790387955993052,15.187089823658706
2009-12-01,0.5777007510109763,14.05724491300058
2010-01-01,0.5763688760806917,15.21067415730337
2010-02-01,0.5755947812739831,14.645102787167692
2010-03-01,0.5748227629814141,13.852184258157584
2010-04-01,0.574052812858783,13.69184331808722
2010-05-01,0.5738332058148432,16.60547878317637
2010-06-01,0.5736137667304015,16.56174979994665
2010-07-01,0.573394495412844,15.12291933418694
2010-08-01,0.5737234652897303,16.760714765551523
2010-09-01,0.574052812858783,15.929354445797808
2010-10-01,0.5743825387708213,16.354116514203177
2010-11-01,0.5763688760806917,16.084379358437936
2010-12-01,0.578368999421631,14.926362297496318
2011-01-01,0.5803830528148578,13.286838696821755
2011-02-01,0.5820721769499418,12.62032563964931
2011-03-01,0.5837711617046117,12.215875181174864
2011-04-01,0.585480093676815,12.420534011443102
2011-05-01,0.5920663114268798,13.162766778092054
2011-06-01,0.5988023952095809,13.428086171449005
2011-07-01,0.6056935190793459,13.838046272493573
2011-08-01,0.6065507480792559,15.926378227494766
