,financial_ratio_monthly,physical_proxy_monthly,distortion,log_distortion,E_optimal
2016-11-30,26.506400180086555,1.4320654748860966,1.4755273455637195,0.3890154483119541,5.481243497253342
2016-12-31,20.976021480143963,1.1926761842286535,1.402038561722795,0.3379272930292946,4.7872271439724114
2017-01-31,21.519365281239324,1.2486225857946822,1.3739080175499836,0.3176592465446721,4.787596806689207
2017-02-28,22.03570010605704,1.2883329581085547,1.3635093580703033,0.3100617865511702,4.8192818403732245
2017-03-31,23.453813260710334,1.394292020378081,1.3409701416635278,0.2933933383272179,4.917854659058209
2017-04-30,23.6270938832541,1.4129169921479907,1.3330702782969444,0.28748476171000503,4.920027881384854
2017-05-31,24.273965696362335,1.4695706866039022,1.316769140865418,0.2751811157218206,4.953443492929076
2017-06-30,26.507720550025905,1.6075408388526722,1.314527740593137,0.2734774684973682,5.17251914920167
2017-07-31,25.097692268887634,1.536968595895473,1.3017517879959581,0.26371088659244835,5.007007350799377
2017-08-31,24.74677621262787,1.5530934692249188,1.2702243219547635,0.2391935163334439,4.911434483788252
2017-09-30,23.88549854767499,1.5391306636515312,1.2371381701856414,0.2128007849783078,4.761835324103219
2017-10-31,22.157658380656702,1.4623890922700309,1.2078703203895966,0.18885874307926387,4.532904820037549
2017-11-30,20.383915061920618,1.3391599545247344,1.2134294576013476,0.19345061314035383,4.366194955468116
2017-12-31,19.776602240392883,1.2975365825521035,1.2150424592051188,0.19477902202975425,4.308558002922577
2018-01-31,19.280367609031547,1.2400586839216006,1.2394598378202648,0.2146756700482392,4.3057760416195805
2018-02-28,20.26518742851125,1.2667078700397094,1.2753622052696505,0.24323022083100992,4.473131952960251
2018-03-31,19.847622451475626,1.242175155529869,1.2737524666514843,0.24196724208009365,4.4282873852544915
2018-04-30,18.657851456955964,1.1821763965418628,1.2581682861110317,0.22965692207474164,4.279414102724923
2018-05-31,16.859072560208816,1.091859773965395,1.2309097181258086,0.20775350424130756,4.047244266303045
2018-06-30,16.875012478506605,1.114171501117294,1.2074007569013185,0.18846991426529836,4.0037394345593125
2018-07-31,16.461004313027566,1.0131255983421834,1.2952464981386396,0.25870102309099324,4.130859019568718
2018-08-31,16.244634930095632,1.0029667677868699,1.29116813408505,0.25554733892684767,4.10139828084619
2018-09-30,15.078102145704134,0.9598975088082108,1.2522216359878264,0.22491928256011545,3.9100313121797132
2018-10-31,15.027769318908529,0.9610755912707329,1.2465116998169405,0.22034901007215574,3.894044274396821
2018-11-30,18.691351541840376,1.20300777743306,1.2386016589726025,0.21398304891427578,4.245228132621275
2018-12-31,21.797369160167715,1.4307795137949038,1.2144810787996108,0.19431688992301208,4.509557761060923
2019-01-31,21.623618425588997,1.4051552269069993,1.2267708634130878,0.20438540290507748,4.515759009106455
2019-02-28,20.457744829428677,1.3500821379584653,1.2079722361822287,0.18894311595564625,4.36310897684347
2019-03-31,19.373731006624734,1.2669825263978156,1.2189952881698716,0.19802698516752257,4.2758538575597775
2019-04-30,18.00516216117035,1.1421315868000104,1.2567250774955028,0.22850919247726448,4.21137656886351
2019-05-31,18.325160518143466,1.1961978812673628,1.221248787175157,0.19987393127316022,4.1753198476197495
2019-06-30,21.527033658286953,1.4103488709659053,1.2167938931560398,0.19621944317655163,4.486961038413751
2019-07-31,21.914365467170136,1.3963301971116275,1.2511234283383503,0.2240418903575159,4.5915508786314
2019-08-31,25.177830791255275,1.5544489901062162,1.291222907486678,0.2555897596143068,4.994822942467318
2019-09-30,24.14424537903103,1.4961926490420459,1.2864280653722966,0.2518694361917486,4.882266132698938
2019-10-31,25.073967845728877,1.5618950226232762,1.279766125284663,0.24667734661581875,4.962458331037343
2019-11-30,23.530737776923573,1.452155645166136,1.2917597952857434,0.25600547111421046,4.831143589056845
2019-12-31,22.83925315377051,1.3964239378997405,1.3038390982169898,0.2653130649532819,4.785167667058623
2020-01-31,24.444636159345947,1.5207315467411067,1.2814167867625261,0.2479663304667135,4.902691737479032
2020-02-29,28.66174480552576,1.7689050218375573,1.291687618809555,0.2559495950194904,5.344105830921927
2020-03-31,49.59030951429387,2.9038346169454026,1.3613955524387944,0.30851031512377325,7.570687725495645
2020-04-30,64.05424209190949,5.075830842883806,1.006005009321857,0.00598705111033615,8.335311369930839
2020-05-31,53.562127706508,7.072084617467286,0.6037675378267425,-0.5045660262770082,6.514460700359245
2020-06-30,42.562000023583366,5.894304115641684,0.5756372303687795,-0.5522776250863962,5.360483668780077
2020-07-31,42.762546559690904,5.970615699361903,0.5709575606020025,-0.5604403967783566,5.37156099671579
2020-08-31,43.82637278204238,6.093373060713265,0.573372879571599,-0.5562190242245078,5.4825770879946525
2020-09-30,46.08798676888563,6.383853926736771,0.5755249863701273,-0.5524726349596804,5.712867018088399
2020-10-31,45.96679775183407,6.395854436197007,0.5729346200889526,-0.5569836698438198,5.695778842292826
2020-11-30,42.382913136446874,6.08966967416769,0.554825553769392,-0.5891015321764387,5.302650539243113
2020-12-31,37.069825855059925,5.418518381168545,0.5453802185621164,-0.6062720788248195,4.753222188461889
2021-01-31,33.905459661017574,4.975016029969346,0.5432935372191174,-0.6101055209139319,4.432782547705779
2021-02-28,29.00432274571268,4.272140710535365,0.5412234026516501,-0.6139231414702893,3.9386975776172912
2021-03-31,26.020041690650128,3.8220005954660965,0.5427209975026736,-0.6111599078510886,3.6431424091721825
2021-04-30,26.963172063659183,3.9102967490025335,0.5496935651464265,-0.5983943103029654,3.7508313925651855
2021-05-31,27.105359240868406,3.8891394593867963,0.5555984656237709,-0.5877094297620417,3.776377878548769
2021-06-30,25.074235660533645,3.5392614523814765,0.5647736732381571,-0.5713302064281766,3.590866939204115
2021-07-31,24.304962673906026,3.4176549565057677,0.5669256812580793,-0.5675270574641902,3.518067982457122
2021-08-31,25.312092058979943,3.5372884427324727,0.5704491705156614,-0.5613312100285337,3.6255402677035486
2021-09-30,23.73834252661374,3.313645729656926,0.5710888799770573,-0.5602104247369974,3.469392512209198
2021-10-31,21.25433389164095,2.940460985511543,0.5762241607608655,-0.5512585260048526,3.230843003684939
2021-11-30,22.473725475712445,3.0888963686443422,0.5800041755663776,-0.5447199762152114,3.3600336190659283
2021-12-31,24.02956642475768,3.2362914765851283,0.5919127460934969,-0.524396043316442,3.538462726818395
2022-01-31,21.300446845948613,2.8664790653478875,0.5923785531782767,-0.5236094005215711,3.2664443580389024
2022-02-28,19.694695010980425,2.6791884051585546,0.5860104917018654,-0.5344175856372999,3.093652893342437
2022-03-31,17.426960841636024,2.385285946192386,0.5824257836958199,-0.5405535116238781,2.86000268962089
2022-04-30,18.275481902809705,2.3694349487859196,0.6148701846916765,-0.48634411525867016,3.0070950751996968
2022-05-31,16.36091512451442,2.135207027539036,0.6108393245709305,-0.4929213256358814,2.8079057269344516
2022-06-30,15.618744448578116,1.990557693134853,0.6255049292044632,-0.4691960686834186,2.7618226763929044
2022-07-31,16.571995624656015,2.1203823954845014,0.6230458489872989,-0.4731351690224861,2.852430374808583
2022-08-31,18.052691223539767,2.204289779597465,0.6528789309609527,-0.42636357124291546,3.057730745013764
2022-09-30,18.535947189156037,2.2707373843140286,0.6507396361843325,-0.42964566118997516,3.101952388330446
2022-10-31,17.782063377533458,2.17350725529773,0.6521994771813182,-0.4274048172504868,3.029364518468528
2022-11-30,19.018206440720846,2.249315819340725,0.6740288821210296,-0.3944823171763261,3.1948556424267127
2022-12-31,22.01298046342223,2.499135376910386,0.7021799955110897,-0.35356550396022723,3.5483372214043136
2023-01-31,22.668123598837468,2.5779343091700677,0.7009759409441328,-0.35528171358626687,3.611541715980655
2023-02-28,22.292483329927613,2.5598515782347415,0.6942294802895421,-0.3649527098909587,3.5610354992624953
2023-03-31,24.28445112706476,2.7643114948442404,0.7003267241681153,-0.35620830402048315,3.771929032539187
2023-04-30,23.955960285176428,2.676312669889466,0.7135692409505648,-0.33747580269443994,3.7644839601370936
2023-05-31,26.28249448849799,2.9164739379433113,0.718402556136686,-0.3307252039037539,4.006409454499768
2023-06-30,25.871362124548344,2.857272284114817,0.7218169118067769,-0.32598375700251814,3.971846206533141
2023-07-31,24.408975667099117,2.655369608046501,0.7327974695306545,-0.3108859187795781,3.8466723041768818
2023-08-31,22.527522255971352,2.437442711985376,0.7367809648008521,-0.3054646293356097,3.666168770317137
2023-09-30,20.69385022115032,2.2173788200867732,0.7439791990340328,-0.2957422028274757,3.4966104243435847
2023-10-31,21.477669161336934,2.2908745858688273,0.747386451397113,-0.291172889741418,3.5815286800383594
2023-11-30,24.18898453498009,2.556797026546448,0.7541900023812396,-0.2821109501709072,3.865711927453857
2023-12-31,26.326683618839294,2.7946490492961957,0.7509798147347096,-0.28637650542913884,4.0733235166811275
2024-01-31,25.72668084083168,2.722600195686751,0.7532849213465012,-0.28331174114825,4.01774528013564
2024-02-29,24.861444484268713,2.6177956195204373,0.7570943554045029,-0.27826738944880935,3.93852953838653
2024-03-31,25.62961490840075,2.6394177155485683,0.7740933566189615,-0.25606279687913713,4.047956909660124
2024-04-30,26.250691075604678,2.683290707352407,0.7798882932261605,-0.24860458336719166,4.121181343545347
2024-05-31,28.384836185186185,2.867102948461549,0.7892280126449162,-0.23670001047511924,4.352512867266009
2024-06-30,28.135009829535093,2.8170667921991313,0.7961764249362651,-0.22793447832896277,4.340859838953691
2024-07-31,28.514141715069954,2.8062586425362026,0.8100130105127331,-0.21070496908325206,4.405316681470198
2024-08-31,31.305092897342877,3.028660800611757,0.8239934264541428,-0.19359272670868224,4.711231373136113
2024-09-30,35.25795661502099,3.3778328592198976,0.8321054560300585,-0.18379609615690756,5.122079597559762
2024-10-31,35.55238513112701,3.3653591258996283,0.8421640781429882,-0.17178041657075516,5.170818581387005
2024-11-30,36.11959862296061,3.3815951026165845,0.8514922441048475,-0.1607648874295703,5.245434779558421
2024-12-31,36.13876595098294,3.340785281862691,0.8623511393578884,-0.14809273702116882,5.268182862437917
2025-01-31,34.65265297145008,3.144765032467741,0.8784310417020316,-0.12961786993730523,5.1504187240835995
2025-02-28,38.588593384067146,3.5028435620939384,0.8782084122713487,-0.1298713419077443,5.543585680315017
2025-03-31,41.66345619998111,3.7604804186421106,0.8832249915562462,-0.12417530726063664,5.86069560379989
2025-04-30,48.5743254678298,4.346494791151855,0.8908959849993221,-0.11552759794509448,6.566498313924537
2025-05-31,51.49678474051134,4.53614601362949,0.9050081191066879,-0.09981136393384815,6.885816498459882
2025-06-30,48.29764346243939,4.138175648174259,0.9304143655372414,-0.07212523772357726,6.614640884213341
2025-07-31,48.131483350782275,4.028113638830116,0.9525481084102626,-0.04861466573940665,6.640485522640773
2025-08-31,50.13948458767087,4.183698586856724,0.9553859795806586,-0.04563985305476281,6.846729725717738
2025-09-30,54.42604008266155,4.539935026535062,0.9556887780900262,-0.0453229648632506,7.275966153989879
2025-10-31,63.64064430610283,5.247981055381188,0.9667222090563646,-0.033844095681793473,8.218592750024534
2025-11-30,64.00778649668189,5.293412546342586,0.9639543181420592,-0.0367113733138702,8.249997137532548
2025-12-31,70.03488789262958,5.7049311184449,0.9786410292168994,-0.021590374563227765,8.880881784087215
2026-01-31,72.84653645766504,6.014042736898473,0.96561006632191,-0.034995184313314054,9.137048466873841
2026-02-28,72.27110821772006,5.8766368861157305,0.980381809049922,-0.01981318212096128,9.107843271786141
2026-03-31,50.175631280358715,3.9858605973868224,1.0035294604128544,0.003523246484368747,6.94270127658298
2026-04-30,45.108481080252645,3.309911946750954,1.0864285000694613,0.08289571097365656,6.595017067342191
