,omega,omega_pred,delta_omega,M2_GDP
2008-01-01,10.075344094857297,10.830288466532071,-0.7549443716747746,0.5165289256198348
2008-02-01,9.634291135638628,10.893004447106495,-1.2587133114678668,0.5175983436853002
2008-03-01,8.953386223072718,10.955980659965466,-2.002594436892748,0.5186721991701245
2008-04-01,7.764578723838811,11.019218728179357,-3.254640004340546,0.5197505197505198
2008-05-01,6.940164159506991,11.125201860582326,-4.185037701075335,0.521557719054242
2008-06-01,6.692196619993,11.231924582185606,-4.539727962192606,0.5233775296580601
2008-07-01,7.364222598018231,11.339394661783299,-3.9751720637650676,0.5252100840336135
2008-08-01,7.307251632681019,11.854753674313336,-4.547502041632318,0.533997864008544
2008-09-01,9.347733235746698,12.387652059463871,-3.039918823717173,0.5430847212165097
2008-10-01,11.946666463216143,12.939000701779847,-0.9923342385637035,0.5524861878453039
2008-11-01,17.1039399037517,13.411205747839311,3.6927341559123903,0.5605381165919282
2008-12-01,24.667782679674417,13.897378178651401,10.770404501023016,0.5688282138794084
2009-01-01,20.99388697742741,14.398147010388556,6.595739967038856,0.5773672055427251
2009-02-01,21.200180139608197,14.575011255572392,6.625168884035805,0.5803830528148578
2009-03-01,19.999999470755203,14.753732884894674,5.246266585860528,0.5834305717619603
2009-04-01,17.707753721809766,14.934341311476665,2.7734124103331013,0.5865102639296187
2009-05-01,15.06309614947628,14.92089754698091,0.14219860249536964,0.586281024037522
2009-06-01,13.611804075553334,14.907464287477922,-1.295660211924588,0.5860519632740769
2009-07-01,13.60873305089942,14.89404152065957,-1.2853084697601496,0.5858230814294083
2009-08-01,13.788757058925404,14.787035652108813,-0.9982785931834091,0.5839984426708195
2009-09-01,15.314494074749318,14.680694287302217,0.6337997874471011,0.5821851348728896
2009-10-01,13.87932120106628,14.575011255572392,-0.6956900545061124,0.5803830528148578
2009-11-01,15.187089823658706,14.49617734380287,0.6909124798558359,0.5790387955993052
2009-12-01,14.05724491300058,14.41770777131363,-0.36046285831304914,0.5777007510109763
2010-01-01,15.21067415730337,14.339600018178807,0.8710741391245627,0.5763688760806917
2010-02-01,14.645102787167692,14.294203258550326,0.35089952861736684,0.5755947812739831
2010-03-01,13.852184258157584,14.248928276012236,-0.39674401785465285,0.5748227629814141
2010-04-01,13.69184331808722,14.203774581219179,-0.5119312631319595,0.574052812858783
2010-05-01,16.60547878317637,14.190895734726404,2.414583048449966,0.5738332058148432
2010-06-01,16.56174979994665,14.178026738211813,2.3837230617348375,0.5736137667304015
2010-07-01,15.12291933418694,14.165167580379581,0.9577517538073597,0.573394495412844
2010-08-01,16.760714765551523,14.184460005928223,2.5762547596233,0.5737234652897303
2010-09-01,15.929354445797808,14.203774581219179,1.7255798645786289,0.574052812858783
2010-10-01,16.354116514203177,14.22311134441972,2.1310051697834567,0.5743825387708213
2010-11-01,16.084379358437936,14.339600018178807,1.7447793402591287,0.5763688760806917
2010-12-01,14.926362297496318,14.456897173190129,0.4694651243061898,0.578368999421631
2011-01-01,13.286838696821755,14.575011255572392,-1.2881725587506363,0.5803830528148578
2011-02-01,12.62032563964931,14.674069874334002,-2.0537442346846912,0.5820721769499418
2011-03-01,12.215875181174864,14.773706768745114,-2.5578315875702504,0.5837711617046117
2011-04-01,12.420534011443102,14.873927017338971,-2.453393005895869,0.585480093676815
2011-05-01,13.162766778092054,15.260175499397498,-2.0974087213054435,0.5920663114268798
2011-06-01,13.428086171449005,15.655212869071725,-2.2271266976227206,0.5988023952095809
2011-07-01,13.838046272493573,16.059342558580973,-2.2212962860873997,0.6056935190793459
2011-08-01,15.926378227494766,16.109614719714507,-0.18323649221974136,0.6065507480792559
2011-09-01,15.849111848526256,16.160029381406034,-0.3109175328797775,0.6074104069649727
2011-10-01,15.802016498625116,16.210587150409737,-0.40857065178462015,0.6082725060827251
2011-11-01,15.817028985507246,16.254036745173835,-0.43700775966658867,0.6090133982947625
2011-12-01,14.493653293801536,16.29759231455931,-1.803939020757774,0.6097560975609756
2012-01-01,15.64606235357722,16.34125424675159,-0.6951918931743695,0.6105006105006106
2012-02-01,13.80863344443541,16.421578666163036,-2.6129452217276263,0.611870283499898
2012-03-01,13.556856051369586,16.5022643155882,-2.9454082642186137,0.6132461161079313
2012-04-01,13.954092318002848,16.58331363727055,-2.6292213192677014,0.6146281499692686
