,L,GDP,L_over_GDP,omega,M2
2008-12-31,202391.7565519247,14475.22875,13.98193838918951,24.667782679674414,8204.7
2009-01-31,174018.32915589583,14418.4855,12.06911288677967,20.99388697742741,8289.0
2009-02-28,176370.65863544247,14406.069,12.242802574070863,21.200180139608197,8319.3
2009-03-31,167727.99556154144,14393.6525,11.652914057883601,19.999999470755203,8386.4
2009-04-30,148587.53225507794,14398.147500000001,10.319906241763249,17.707753721809766,8391.1
2009-05-31,127271.111986155,14415.059000000001,8.82903857598883,15.06309614947628,8449.2
2009-06-30,115146.33421632831,14431.9705,7.978559422382987,13.611804075553334,8459.3
2009-07-31,115177.51217628723,14499.47375,7.943564998439149,13.608733050899419,8463.5
2009-08-31,116694.2509896857,14550.0655,8.02018733109385,13.788757058925404,8463.0
2009-09-30,129585.12306289883,14600.65725,8.8752938202764,15.314494074749318,8461.6
2009-10-31,117806.29042253048,14679.58925,8.025176210058499,13.879321201066281,8487.9
2009-11-30,129348.44402810119,14707.9295,8.794469950926892,15.187089823658706,8517.0
2009-12-31,119658.08014844354,14736.26975,8.119970805260506,14.057244913000579,8512.2
2010-01-31,128951.53230337078,14818.50575,8.702060415461983,15.21067415730337,8477.7
2010-02-28,124883.18499701505,14872.4015,8.39697509491087,14.645102787167692,8527.3
2010-03-31,118069.09252440617,14926.29725,7.910139436919372,13.852184258157584,8523.5
2010-04-30,117130.98121757255,15020.5465,7.798050571433772,13.691843318087221,8554.8
2010-05-31,142956.56684436536,15060.9,9.491900672892415,16.60547878317637,8609.0
2010-06-30,142896.4334489197,15101.253499999999,9.462554446153739,16.56174979994665,8628.1
2010-07-31,130654.46158770807,15183.57375,8.604987451502192,15.122919334186939,8639.5
2010-08-31,145615.41381163508,15225.5405,9.563891266233544,16.760714765551523,8687.9
2010-09-30,138883.26260657737,15267.50725,9.096656077014625,15.929354445797808,8718.7
2010-10-31,143399.43524313913,15319.9675,9.360296308927492,16.354116514203177,8768.4
2010-11-30,141365.61018131103,15330.461,9.221223691923617,16.084379358437936,8789.0
2010-12-31,131698.27982326952,15340.9545,8.584751347986172,14.926362297496318,8823.2
2011-01-31,117575.23562817572,15402.97075,7.633283055359676,13.286838696821757,8849.0
2011-02-28,112488.74852388618,15454.4935,7.278708197320487,12.62032563964931,8913.3
2011-03-31,109594.7241879103,15506.01625,7.067884001986022,12.215875181174864,8971.5
2011-04-30,112220.76684678959,15580.074250000001,7.202839026700375,12.420534011443102,9035.1
