,L,GDP,L_GDP_ratio,M2,omega
2014-03-31,133988.12646239556,17411.58466666667,7.695343590345742,11232.6,11.928505106778088
2014-04-30,134771.3307749214,17518.508,7.693082697163559,11277.7,11.950249676345477
2014-05-31,129464.87221613726,17613.748,7.3502171267658225,11342.8,11.413837166849214
2014-06-30,134768.45607476638,17708.988,7.610172646498285,11398.1,11.823765020026704
2014-07-31,139193.8266224538,17804.228,7.8180209005666415,11453.0,12.15348176219801
2014-08-31,143137.8500484966,17840.178333333333,8.02334188448396,11477.3,12.471387002909797
2014-09-30,147109.3434823977,17876.128666666667,8.229373720984128,11519.1,12.770906015435035
2014-10-31,158256.9427574171,17912.079,8.835207948637178,11593.1,13.650959860383944
2014-11-30,195936.35114950943,17962.562333333335,10.908040151148596,11634.2,16.84141162688534
2014-12-31,243470.2017331023,18013.045666666665,13.516326235915036,11717.6,20.778162911611787
2015-01-31,288551.564107449,18063.529,15.974263063848102,11805.2,24.442751000190512
2015-02-28,232703.6037311032,18135.613999999998,12.831305503695836,11922.8,19.51752975233194
2015-03-31,256330.8389383749,18207.699,14.078156659903861,11920.5,21.503363024904566
2015-04-30,212187.42385596398,18279.784,11.607764285177767,11954.6,17.749437359339833
2015-05-31,218328.43112673904,18320.398,11.917231881465623,11982.6,18.220455587830607
2015-06-30,222614.53786561266,18361.012,12.124306539618441,12023.2,18.515415019762845
2015-07-31,255307.40676328502,18401.626,13.874176486539017,12067.0,21.157487922705315
2015-08-31,260336.80697762605,18412.796333333332,14.138906566099859,12112.0,21.494122108456576
2015-09-30,280238.4039215686,18423.966666666667,15.210535765275045,12173.9,23.01960784313725
2015-10-31,282279.74438827095,18435.137,15.312050265114436,12225.2,23.08998988877654
2015-11-30,294225.620650954,18465.40233333333,15.933886266849681,12317.0,23.887766554433224
2015-12-31,351931.99812231754,18495.667666666668,19.027807185170058,12387.9,28.409334763948493
2016-01-31,390286.7540435025,18525.933,21.067049850795772,12518.5,31.176798661461238
2016-02-29,434500.1036398999,18587.856,23.375482553765206,12603.9,34.47346485134759
2016-03-31,394285.3161485974,18649.779000000002,21.14155433952313,12661.8,31.139752337629517
2016-04-30,343312.7413577676,18711.702,18.347488718972095,12743.2,26.940857975843397
2016-05-31,313284.29635594925,18772.014333333333,16.688901403599107,12802.0,24.471511979061805
2016-06-30,340441.9220753205,18832.326666666668,18.077528501982965,12852.5,26.48838141025641
2016-07-31,402772.4104581212,18892.639,21.319012683094257,12911.9,31.19389171679778
2016-08-31,360659.4206500956,18958.219,19.02390834550944,12989.7,27.76503080518377
2016-09-30,350188.51202609047,19023.799,18.407916947928776,13054.9,26.82429677945373
2016-10-31,345651.2393958204,19089.379,18.10699234353409,13122.8,26.33974756879785
2016-11-30,306292.1099881094,19152.947333333334,15.991904778803724,13208.7,23.18866428854538
2016-12-31,267532.722261236,19216.515666666666,13.922020354881678,13234.9,20.21418539325843
2017-01-31,289259.74044157244,19280.084,15.003033204708675,13315.7,21.723209477652127
2017-02-28,300191.76284584985,19332.936999999998,15.527478460507572,13394.8,22.411067193675894
2017-03-31,317776.6251655629,19385.79,16.392245307803442,13463.6,23.602649006622517
2017-04-30,330313.5837182448,19438.643,16.99262565387125,13521.7,24.4284064665127
2017-05-31,342189.85387673957,19523.29366666667,17.527260498108554,13568.9,25.21868787276342
2017-06-30,351386.93551752926,19607.944333333333,17.92064122296464,13580.5,25.874373956594326
2017-07-31,328528.5444697834,19692.595,16.682846748728817,13643.1,24.080197643481565
2017-08-31,345438.46303724934,19807.426,17.439846198958378,13697.7,25.218720152817575
2017-09-30,306914.0866840731,19922.257,15.405588166244069,13745.1,22.328981723237597
2017-10-31,285362.57655307354,20037.088,14.241718983969804,13800.1,20.678297733572478
2017-11-30,277675.86768407805,20134.243,13.791224615898303,13843.5,20.058212712397737
2017-12-31,271811.6994888756,20231.398,13.435141728163103,13881.7,19.580577269993988
2018-01-31,270838.4061413673,20328.553,13.32305384162696,13900.3,19.48435689455388
2018-02-28,279856.504261796,20412.672666666665,13.709939351488941,13949.3,20.062404870624047
2018-03-31,264033.3831058021,20496.792333333335,12.881692843050976,14012.7,18.842434584755406
2018-04-30,245217.6252659574,20580.912,11.914808501487077,14035.9,17.470744680851062
2018-05-31,235720.81443298972,20653.518,11.413107172976039,14092.4,16.726804123711343
2018-06-30,222756.13296398896,20726.124,10.747602058348631,14137.2,15.756736338453791
2018-07-31,233551.59111111113,20798.73,11.229127504953963,14174.6,16.47676767676768
2018-08-31,220588.23359173126,20838.442333333332,10.585639274912436,14223.2,15.509043927648579
2018-09-30,204492.68521864834,20878.154666666665,9.794576603320898,14245.5,14.354897000361401
2018-10-31,229072.0211836356,20917.867,10.951021974833075,14256.6,16.067787634052692
2018-11-30,297359.62316865416,20982.444666666666,14.171829255008044,14282.8,20.819420783645654
2018-12-31,338528.48640705366,21047.02233333333,16.08438861543409,14386.8,23.5304922850845
2019-01-31,308468.92729035387,21111.6,14.61134766149197,14459.7,21.33301017935046
2019-02-28,288630.2783927217,21207.046,13.610112336848882,14506.3,19.896891584533737
2019-03-31,276701.8259461051,21302.492,12.989176381153207,14557.5,19.007509939625976
2019-04-30,257266.92636351145,21397.938,12.022977464628202,14594.7,17.62742134908641
2019-05-31,297114.90790899243,21504.349,13.816503252853293,14704.4,20.20585048754063
2019-06-30,314199.3345498783,21610.76,14.539022901086234,14802.8,21.22566909975669
2019-07-31,322593.02639656235,21717.171,14.854284031587833,14886.8,21.66973603437692
2019-08-31,377472.9488156369,21789.18633333333,17.323866207806702,14974.4,25.20788471094915
2019-09-30,364440.4195459033,21861.201666666668,16.670648992804068,15047.0,24.220138203356367
2019-10-31,381115.865448505,21933.217,17.376195450421385,15184.1,25.099667774086377
2019-11-30,358147.25788378424,21872.557333333334,16.37427450415115,15296.0,23.41443893068673
2019-12-31,351936.85185185185,21811.897666666668,16.135086329039954,15347.5,22.93121693121693
2020-01-31,421426.45485812554,21751.238,19.374826152797624,15427.1,27.317282889079966
2020-02-29,484519.7977485213,21153.589,22.904850696896933,15493.4,31.272657889715706
2020-03-31,1115041.5184859156,20555.940000000002,54.244248547423055,16033.0,69.54665492957747
2020-04-30,1140005.2603878113,19958.291,57.11938263590862,17065.3,66.80253264740799
2020-05-31,829152.5184594954,20540.339666666667,40.36703053187884,17932.9,46.23638778220452
2020-06-30,783731.4044206947,21122.388333333336,37.10429862630092,18184.3,43.099344182657276
2020-07-31,835787.5911295912,21704.437,38.507683527086705,18335.4,45.58327558327559
2020-08-31,793088.5164690383,21832.011333333336,36.32686445422199,18411.2,43.076416337285906
2020-09-30,856733.5675873869,21959.585666666666,39.014104391225246,18602.5,46.05475433879247
2020-10-31,938930.9861259338,22087.16,42.51026325367018,18757.6,50.05602988260406
2020-11-30,709144.1584366462,22285.004333333334,31.821584946964837,18997.0,37.32927085522168
2020-12-31,696981.0323637066,22482.848666666665,31.000565929043454,19115.7,36.46118281641303
2021-01-31,655268.7750637988,22680.693,28.891038517376817,19379.0,33.813343055049216
2021-02-28,521948.4592320635,22929.098666666665,22.76358381199038,19641.8,26.573351690377844
2021-03-31,533691.832678094,23177.504333333334,23.02628553111955,19873.2,26.854851391728257
2021-04-30,530469.8083680763,23425.91,22.644576384357165,20176.9,26.290946992257297
2021-05-31,563066.6676279742,23611.399666666668,23.847238011174834,20460.4,27.519826964671957
2021-06-30,482369.591689972,23796.889333333333,20.270279234113847,20477.8,23.55573312025569
2021-07-31,489564.81542086654,23982.379,20.41352175365365,20633.3,23.726927608325695
2021-08-31,515893.0038392979,24259.452666666668,21.26564893807983,20840.9,24.753873577402985
2021-09-30,467627.59878033283,24536.52633333333,19.058427115049778,20981.0,22.2881463600559
2021-10-31,452202.6068982094,24813.6,18.22398228786671,21160.6,21.370027640908546
2021-11-30,539069.2694389063,24959.182333333334,21.598034031706714,21335.5,25.266305895756197
2021-12-31,505829.1510041194,25104.764666666666,20.14873103653283,21498.5,23.52857878475798
2022-01-31,426452.8684787374,25250.347,16.88899041580448,21650.1,19.697501096010523
2022-02-28,410802.60760998813,25453.995333333336,16.139022665413183,21725.2,18.909036860879905
2022-03-31,391259.6937354989,25657.643666666667,15.249244974268898,21787.2,17.958236658932716
2022-04-30,378926.7251141553,25861.292,14.652273564451278,21769.4,17.40639269406393
2022-05-31,323820.75300813006,26019.629333333334,12.445248502955744,21719.9,14.908943089430894
2022-06-30,340404.36789094383,26177.966666666667,13.003468612571533,21651.5,15.721976209082227
2022-07-31,368597.8865131579,26336.304,13.995809226425923,21652.9,17.023026315789473
2022-08-31,382847.0253807107,26481.040666666668,14.457401059114119,21638.4,17.692945198383924
2022-09-30,406521.43173809256,26625.77733333333,15.267964824041416,21536.7,18.875753097646925
2022-10-31,367489.9239815204,26770.514,13.72741382483431,21461.7,17.123057538849224
2022-11-30,444087.4347316616,26919.157666666666,16.497077666050604,21406.7,20.745254277009607
2022-12-31,449940.9378406587,27067.801333333333,16.622736819283784,21290.9,21.133016351617766
2023-01-31,485792.74200426444,27216.445,17.849235710404663,21279.9,22.82871357498223
2023-02-28,462690.673542387,27320.981666666667,16.935360492807586,21243.7,21.780135924645283
2023-03-31,517264.49191425357,27425.518333333333,18.860700666705853,20947.4,24.69349379465965
2023-04-30,518774.3093922652,27530.055,18.84392564389229,20761.4,24.987443495730787
2023-05-31,564448.2953981813,27711.652000000002,20.36862672056438,20829.6,27.098374207770735
2023-06-30,530370.8152202937,27893.249,19.01430755593562,20799.4,25.499332443257675
2023-07-31,477878.816044907,28074.846,17.021600618749858,20791.4,22.9844462635949
2023-08-31,463945.4671120839,28191.471333333335,16.456944074554883,20777.5,22.329224743693125
2023-09-30,402006.3084023917,28308.096666666668,14.201106953112884,20747.8,19.37585230252806
2023-10-31,470462.75142987876,28424.722,16.551182151574913,20732.9,22.69160375200183
2023-11-30,511396.6274035555,28519.201666666668,17.931659987568217,20746.4,24.649897206433668
2023-12-31,558325.6946684006,28613.681333333334,19.512543253844882,20777.8,26.871261378413525
2024-01-31,518699.5984367367,28708.161,18.068019001173106,20843.7,24.885197850512945
2024-02-29,511312.9225251076,28854.455333333335,17.720414979881014,20926.9,24.43328550932568
2024-03-31,541403.4541479693,29000.749666666667,18.66860203170044,20973.2,25.814060522379474
2024-04-30,547318.5038689121,29147.044,18.777839147905087,20958.8,26.114019116977698
2024-05-31,599342.8461632753,29268.584000000003,20.477343426087003,21019.9,28.513115959794067
2024-06-30,575052.5039323865,29390.124,19.56618161707608,21067.7,27.295457213287946
2024-07-31,638997.0506501548,29511.664,21.652355849882095,21094.4,30.292260061919503
2024-08-31,671730.4534957493,29616.170000000002,22.6812060268343,21185.8,31.70663621367847
2024-09-30,779256.3915343916,29720.676,26.219336045196,21268.6,36.63881927039822
2024-10-31,801349.0537399154,29825.182,26.868203310206635,21331.0,37.56734582250787
2024-11-30,779068.9388538525,29897.492333333335,26.058002797286523,21451.6,36.31752125034275
2024-12-31,754714.2479946524,29969.802666666666,25.182489734377487,21485.3,35.12700534759358
2025-01-31,788712.3476221499,30042.113,26.253557718198778,21547.6,36.60325732899023
2025-02-28,840877.4901639344,30189.985,27.85286213835265,21613.2,38.90573770491803
2025-03-31,908765.2895546342,30337.857,29.954828040577627,21693.5,41.891132807275646
2025-04-30,1128523.6547298366,30485.729,37.01809639290032,21775.5,51.8253842497227
2025-05-31,1123769.3900797998,30689.82833333333,36.61699824039854,21833.8,51.46925363792834
2025-06-30,1073932.1335403726,30893.927666666666,34.76191648817457,21938.7,48.95149364093463
2025-07-31,998628.4440458121,31098.027,32.11227657773312,22019.9,45.35117979853732
2025-08-31,1138405.359632211,31212.845666666664,36.47233487743015,22086.8,51.542340204656675
2025-09-30,1270307.0929124479,31327.664333333334,40.549052090066375,22169.8,57.29898749255509
2025-10-31,1366522.0301260375,31442.483,43.4610087926592,22250.4,61.41561635413464
