,L_over_GDP,M2Gold_over_OilGDP,M2Gold_over_GDP,M2,GDP,Gold,Oil,L
2015-09-30,15.208230602001738,15.20823060200174,736.8387726669844,12173.9,18426.75925,1115.3,48.45,280238.4039215686
2015-10-31,15.293219876277531,15.293219876277531,756.249722881924,12225.2,18457.836,1141.8,49.45,282279.74438827095
2015-11-30,15.92083890704214,15.920838907042139,709.2733733087273,12317.0,18480.535,1064.2,44.55,294225.620650954
2015-12-31,19.020026343628228,19.020026343628228,709.0665820904604,12387.9,18503.234,1059.1,37.28,351931.99812231754
2016-01-31,21.014369394862538,21.01436939486254,753.5752864997706,12518.5,18572.37525,1118.0,35.86,390286.7540435025
2016-02-29,23.336611126882783,23.336611126882786,839.8846344565115,12603.9,18618.8175,1240.7,35.99,434500.1036398999
2016-03-31,21.124019779504938,21.124019779504938,835.8774626750104,12661.8,18665.25975,1232.2,39.57,394285.3161485974
2016-04-30,18.303241893129943,18.30324189312994,878.9216757080999,12743.2,18756.93625,1293.7,48.02,343312.7413577676
2016-05-31,16.662134637910516,16.662134637910512,827.6082274650153,12802.0,18802.1705,1215.5,49.67,313284.29635594925
2016-06-30,18.06306632616464,18.063066326164638,901.7082710021389,12852.5,18847.40475,1322.3,49.92,340441.9220753205
2016-07-31,21.26365499215499,21.263654992154997,919.0151687609389,12911.9,18941.824,1348.2,43.22,402772.4104581212
2016-08-31,18.991061541284914,18.991061541284914,893.909266748281,12989.7,18991.009,1306.9,47.07,360659.4206500956
2016-09-30,18.392066384727514,18.392066384727514,902.3147768347318,13054.9,19040.194,1316.0,49.06,350188.51202609047
2016-10-31,18.06188229486459,18.061882294864585,872.9307713108054,13122.8,19137.05525,1273.0,48.33,345651.2393958204
2016-11-30,15.965410304966184,15.965410304966184,805.6146039885937,13208.7,19184.7315,1170.1,50.46,306292.1099881094
2016-12-31,13.910516339860568,13.910516339860566,792.3430107184579,13234.9,19232.40775,1151.4,56.96,267532.722261236
2017-01-31,14.972250337770616,14.972250337770616,834.1040663172009,13315.7,19319.723749999997,1210.2,55.71,289259.74044157244
2017-02-28,15.50628267534983,15.506282675349828,863.0796937099714,13394.8,19359.3635,1247.4,55.66,300191.76284584985
2017-03-31,16.38108005191261,16.381080051912612,865.7400807435814,13463.6,19399.00325,1247.4,52.85,317776.6251655629
2017-04-30,16.937307195723626,16.937307195723623,880.0624818897995,13521.7,19502.131,1269.3,51.96,330313.5837182448
2017-05-31,17.48934464464117,17.48934464464117,879.714035625451,13568.9,19565.619,1268.5,50.3,342189.85387673957
2017-06-30,17.901320499069534,17.901320499069534,857.8312783154121,13580.5,19629.107,1239.9,47.92,351386.93551752926
2017-07-31,16.61020397364644,16.61020397364644,874.0289330932754,13643.1,19778.71825,1267.1,52.62,328528.5444697834
2017-08-31,17.389439681018818,17.389439681018818,910.3371673013351,13697.7,19864.8415,1320.2,52.35,345438.46303724934
2017-09-30,15.38342082851272,15.383420828512723,883.7775265980559,13745.1,19950.96475,1282.8,57.45,306914.0866840731
2017-10-31,14.1901156514602,14.1901156514602,870.279792904054,13800.1,20109.95425,1268.2,61.33,285362.57655307354
2017-11-30,13.75803087997924,13.758030879979241,874.4604427314805,13843.5,20182.8205,1274.9,63.56,277675.86768407805
2017-12-31,13.419031546233581,13.419031546233581,892.6339784554576,13881.7,20255.68675,1302.5,66.52,271811.6994888756
2018-01-31,13.28183361496794,13.28183361496794,916.9777927773866,13900.3,20391.64275,1345.2,69.04,270838.4061413673
2018-02-28,13.681748429699388,13.681748429699388,898.8908718312498,13949.3,20454.7325,1318.1,65.7,279856.504261796
2018-03-31,12.868489642257336,12.868489642257334,904.9121916435356,14012.7,20517.82225,1325.0,70.32,264033.3831058021
2018-04-30,11.883366610714543,11.883366610714543,893.6291691257336,14035.9,20635.3665,1313.8,75.2,245217.6252659574
2018-05-31,11.393081382047226,11.393081382047225,884.1031152468646,14092.4,20689.821,1298.0,77.6,235720.81443298972
2018-06-30,10.738197772392146,10.738197772392144,852.8276670833842,14137.2,20744.2755,1251.4,79.42,222756.13296398896
2018-07-31,11.213070135864882,11.21307013586488,832.5704575879674,14174.6,20828.51425,1223.4,74.25,233551.59111111113
2018-08-31,10.575562220079041,10.57556222007904,818.5485158341177,14223.2,20858.298499999997,1200.4,77.4,220588.2335917313
2018-09-30,9.789921251563804,9.789921251563802,812.6613630923114,14245.5,20888.08275,1191.6,83.01,204492.68521864832
2018-10-31,10.925724541392828,10.92572454139283,825.2199746114004,14256.6,20966.30025,1213.6,75.53,229072.0211836356
2018-11-30,14.150054444832916,14.150054444832914,830.6081959116922,14282.8,21014.7335,1222.1,58.7,297359.62316865416
2018-12-31,16.07206031386775,16.07206031386775,874.9629634869601,14386.8,21063.166749999997,1281.0,54.44,338528.48640705366
2019-01-31,14.561971420791519,14.561971420791519,901.2404112327871,14459.7,21183.1845,1320.3,61.89,308468.92729035387
2019-02-28,13.579553764744361,13.579553764744361,895.5715707848906,14506.3,21254.769,1312.2,65.95,288630.2783927217
2019-03-31,12.974643130908674,12.974643130908676,881.1080150200081,14557.5,21326.353499999997,1290.8,67.91,276701.8259461051
2019-04-30,11.978301790557353,11.978301790557353,871.9005873346699,14594.7,21477.746249999997,1283.1,72.79,257266.92636351145
2019-05-31,13.782403189981148,13.782403189981146,890.4810701046819,14704.4,21557.5545,1305.5,64.61,297114.90790899243
2019-06-30,14.521147432807092,14.521147432807092,954.9106551813944,14802.8,21637.36275,1395.8,65.76,314199.3345498783
2019-07-31,14.817432465901305,14.817432465901303,965.5038994781289,14886.8,21771.1825,1412.0,65.16,322593.02639656235
2019-08-31,17.295284926935217,17.295284926935214,1044.1163510390788,14974.4,21825.194,1521.8,60.37,377472.9488156369
2019-09-30,16.656931146147116,16.656931146147116,1012.4082750628216,15047.0,21879.2055,1472.1,60.78,364440.4195459033
2019-10-31,17.412312761256143,17.412312761256143,1048.2212282276198,15184.1,21887.72225,1511.0,60.2,381115.865448505
2019-11-30,16.39701160899383,16.39701160899383,1024.3213152138444,15296.0,21842.2275,1462.7,62.47,358147.25788378424
2019-12-31,16.146312196806278,16.146312196806274,1068.0785518187351,15347.5,21796.732750000003,1516.9,66.15,351936.85185185185
2020-01-31,19.782492143360574,19.782492143360574,1150.3519181364175,15427.1,21303.00125,1588.5,58.15,421426.45485812554
2020-02-29,23.233050545764797,23.23305054576479,1217.6441791035327,15493.4,20854.7645,1639.0,52.41,484519.7977485213
2020-03-31,54.641413382338676,54.64141338233867,1241.4529120467344,16033.0,20406.52775,1580.1,22.72,1115041.5184859156
2020-04-30,55.896783652022116,55.89678365202214,1412.5117228865995,17065.3,20394.8275,1688.1,25.27,1140005.260387811
2020-05-31,39.80308339192265,39.80308339192265,1498.5860897058876,17932.9,20831.364,1740.8,37.65,829152.5184594954
2020-06-30,36.85043591494584,36.85043591494584,1517.1324466183203,18184.3,21267.900500000003,1774.4,41.17,783731.4044206947
2020-07-31,38.3386732454503,38.338673245450295,1659.6811647955433,18335.4,21800.11775,1973.3,43.29,835787.5911295912
2020-08-31,36.22103649104363,36.22103649104362,1649.5060018021265,18411.2,21895.7985,1961.7,45.54,793088.5164690383
2020-09-30,38.957523404769915,38.957523404769915,1593.7522824891373,18602.5,21991.47925,1884.1,40.91,856733.5675873869
2020-10-31,42.22658180955097,42.226581809550964,1582.6522862219701,18757.6,22235.54325,1876.1,37.48,938930.9861259338
2020-11-30,31.680954565171852,31.680954565171852,1507.6966277565286,18997.0,22383.9265,1776.5,47.59,709144.1584366462
2020-12-31,30.93251602240674,30.932516022406734,1605.7069067231334,19115.7,22532.30975,1892.7,51.91,696981.0323637066
2021-01-31,28.655654605625966,28.655654605625966,1572.0492116646403,19379.0,22866.99725,1855.0,54.86,655268.7750637988
2021-02-28,22.640941872558404,22.640941872558408,1480.038370209143,19641.8,23053.3015,1737.1,65.37,521948.4592320635
2021-03-31,22.964754153718552,22.964754153718552,1460.3287166349628,19873.2,23239.60575,1707.7,63.59,533691.832678094
2021-04-30,22.510893059462784,22.510893059462784,1511.8315778735205,20176.9,23565.02725,1765.7,67.16,530469.8083680763
2021-05-31,23.753933310184394,23.753933310184394,1647.3352750612876,20460.4,23704.1445,1908.5,69.35,563066.6676279742
2021-06-30,20.23085585972615,20.230855859726155,1519.134966506837,20477.8,23843.26175,1768.8,75.09,482369.591689972
2021-07-31,20.238159840426455,20.23815984042646,1545.9930302101773,20633.3,24190.18425,1812.5,76.39,489564.81542086654
2021-08-31,21.144898182667795,21.144898182667795,1542.0974244619624,20840.9,24397.9895,1805.3,72.93,515893.0038392979
2021-09-30,19.0047752381716,19.004775238171604,1495.8658589964868,20981.0,24605.79475,1754.3,78.71,467627.5987803328
2021-10-31,18.14414300592647,18.144143005926473,1509.7741395231415,21160.6,24922.78675,1778.2,83.21,452202.6068982094
2021-11-30,21.5352285124026,21.5352285124026,1512.2037461409107,21335.5,25031.9735,1774.2,70.22,539069.2694389063
2021-12-31,20.119562739914496,20.119562739914496,1562.8876336365583,21498.5,25141.16025,1827.7,77.68,505829.1510041194
2022-01-31,16.787445220010344,16.787445220010344,1531.6865018737437,21650.1,25403.083250000003,1797.2,91.24,426452.8684787374
2022-02-28,16.0747186217209,16.0747186217209,1622.2606033040734,21725.2,25555.8195,1908.3,100.92,410802.60760998813
2022-03-31,15.219046046003532,15.219046046003532,1639.8522114568805,21787.2,25708.55575,1935.0,107.75,391259.6937354989
2022-04-30,14.585299029087723,14.585299029087722,1597.0902436851056,21769.4,25980.045,1906.0,109.5,378926.7251141553
2022-05-31,12.407496812999971,12.407496812999975,1526.1221079989969,21719.9,26098.798000000003,1833.8,123.0,323820.75300813006
2022-06-30,12.983835442560743,12.983835442560743,1495.3483279197208,21651.5,26217.551,1810.7,115.17,340404.36789094383
2022-07-31,13.938358353850697,13.938358353850699,1440.6687194540082,21652.9,26444.8565,1759.5,103.36,368597.8865131579
2022-08-31,14.417999036609979,14.417999036609977,1391.7694470039612,21638.4,26553.409,1707.9,96.53,382847.0253807107
2022-09-30,15.247243971081893,15.247243971081893,1341.300052136074,21536.7,26661.9615,1660.5,87.97,406521.43173809256
2022-10-31,13.670484651833775,13.670484651833776,1301.9769582406486,21461.7,26881.99675,1630.8,95.24,367489.9239815204
2022-11-30,16.451655842725334,16.451655842725334,1403.98430961818,21406.7,26993.4795,1770.4,85.34,444087.4347316616
2022-12-31,16.59994703887325,16.599947038873246,1431.4134331620403,21290.9,27104.96225,1822.3,86.23,449940.9378406587
2023-01-31,17.797965055648856,17.79796505564885,1502.504209997876,21279.9,27294.8475,1927.2,84.42,485792.7420042645
2023-02-28,16.90302297105338,16.90302297105338,1417.6565365822473,21243.7,27373.25,1826.7,83.87,462690.673542387
