date,window,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
1986-11-12,baseline,0.006915,-1.31,0.743,freeze,0.027616,0.79,1.221,normal,0.029142,0.85,1.183,normal
1986-11-13,baseline,0.007626,-0.92,0.82,normal,0.02728,0.73,1.206,normal,0.029276,0.88,1.188,normal
1986-11-14,baseline,0.007842,-0.8,0.843,normal,0.026992,0.69,1.193,normal,0.028815,0.79,1.17,normal
1986-11-17,baseline,0.007314,-1.09,0.786,freeze,0.026828,0.66,1.186,normal,0.027824,0.6,1.129,normal
1986-11-18,baseline,0.009486,0.1,1.02,normal,0.026825,0.66,1.186,normal,0.028554,0.74,1.159,normal
1986-11-19,pre,0.009575,0.15,1.029,normal,0.026225,0.57,1.16,normal,0.028009,0.64,1.137,normal
1986-11-20,pre,0.01023,0.51,1.099,normal,0.027086,0.7,1.198,normal,0.029873,0.99,1.212,normal
1986-11-21,pre,0.009669,0.2,1.039,normal,0.027,0.69,1.194,normal,0.029972,1.01,1.216,normal
1986-11-24,pre,0.009742,0.24,1.047,normal,0.025443,0.44,1.125,normal,0.028916,0.81,1.174,normal
1986-11-25,pre,0.010096,0.43,1.085,normal,0.025468,0.45,1.126,normal,0.028617,0.75,1.161,normal
1986-11-26,pre,0.009989,0.38,1.074,normal,0.024249,0.26,1.072,normal,0.027067,0.46,1.099,normal
1986-11-28,pre,0.010078,0.42,1.083,normal,0.015202,-1.17,0.672,freeze,0.01955,-0.97,0.793,normal
1986-12-01,pre,0.00993,0.34,1.067,normal,0.015823,-1.07,0.7,freeze,0.019967,-0.89,0.81,normal
1986-12-02,pre,0.010349,0.57,1.112,normal,0.013137,-1.49,0.581,freeze,0.018107,-1.24,0.735,freeze
1986-12-03,pre,0.010358,0.58,1.113,normal,0.012101,-1.66,0.535,freeze,0.017391,-1.37,0.706,freeze
1986-12-04,pre,0.01101,0.93,1.183,normal,0.012,-1.67,0.531,freeze,0.017389,-1.38,0.706,freeze
1986-12-05,pre,0.011251,1.07,1.209,normal,0.011919,-1.68,0.527,freeze,0.017136,-1.42,0.696,freeze
1986-12-08,pre,0.01127,1.08,1.211,normal,0.012106,-1.65,0.535,freeze,0.01716,-1.42,0.696,freeze
1986-12-09,pre,0.011533,1.22,1.24,normal,0.011689,-1.72,0.517,freeze,0.017026,-1.44,0.691,freeze
1986-12-10,pre,0.01167,1.3,1.254,normal,0.012155,-1.65,0.537,freeze,0.017095,-1.43,0.694,freeze
1986-12-11,pre,0.012048,1.5,1.295,normal,0.0132,-1.48,0.584,freeze,0.018991,-1.07,0.771,freeze
1986-12-12,pre,0.011601,1.26,1.247,normal,0.015781,-1.08,0.698,freeze,0.020405,-0.8,0.828,normal
1986-12-15,pre,0.011456,1.18,1.231,normal,0.015867,-1.06,0.702,freeze,0.020551,-0.78,0.834,normal
1986-12-16,pre,0.011241,1.06,1.208,normal,0.016308,-0.99,0.721,normal,0.021321,-0.63,0.865,normal
1986-12-17,pre,0.009542,0.13,1.026,normal,0.016796,-0.92,0.743,normal,0.020282,-0.83,0.823,normal
1986-12-18,pre,0.009515,0.12,1.023,normal,0.018076,-0.72,0.799,normal,0.02139,-0.62,0.868,normal
1986-12-19,pre,0.00944,0.07,1.015,normal,0.016757,-0.92,0.741,normal,0.018416,-1.18,0.747,freeze
1986-12-22,pre,0.009187,-0.06,0.987,normal,0.017644,-0.78,0.78,normal,0.018772,-1.11,0.762,freeze
1986-12-23,pre,0.009154,-0.08,0.984,normal,0.017293,-0.84,0.765,normal,0.018084,-1.24,0.734,freeze
1986-12-24,pre,0.00855,-0.41,0.919,normal,0.017414,-0.82,0.77,normal,0.01822,-1.22,0.74,freeze
1986-12-29,pre,0.008538,-0.42,0.918,normal,0.017984,-0.73,0.795,normal,0.018688,-1.13,0.758,freeze
1986-12-30,pre,0.008485,-0.45,0.912,normal,0.018038,-0.72,0.798,normal,0.018515,-1.16,0.751,freeze
1986-12-31,pre,0.008636,-0.37,0.928,normal,0.018113,-0.71,0.801,normal,0.018426,-1.18,0.748,freeze
1987-01-02,pre,0.008744,-0.31,0.94,normal,0.017662,-0.78,0.781,normal,0.017095,-1.43,0.694,freeze
1987-01-05,pre,0.00965,0.19,1.037,normal,0.018154,-0.7,0.803,normal,0.019202,-1.03,0.779,freeze
1987-01-06,regime,0.009125,-0.1,0.981,normal,0.017851,-0.75,0.789,normal,0.019202,-1.03,0.779,freeze
1987-01-07,regime,0.008839,-0.25,0.95,normal,0.017627,-0.79,0.779,normal,0.019471,-0.98,0.79,normal
1987-01-08,regime,0.009085,-0.12,0.976,normal,0.017147,-0.86,0.758,normal,0.01905,-1.06,0.773,freeze
1987-01-09,regime,0.008479,-0.45,0.911,normal,0.01648,-0.97,0.729,normal,0.019046,-1.06,0.773,freeze
1987-01-12,regime,0.008822,-0.26,0.948,normal,0.016583,-0.95,0.733,normal,0.019049,-1.06,0.773,freeze
1987-01-13,regime,0.007889,-0.78,0.848,normal,0.016677,-0.94,0.737,normal,0.018339,-1.2,0.744,freeze
1987-01-14,regime,0.00901,-0.16,0.968,normal,0.015841,-1.07,0.7,freeze,0.016235,-1.59,0.659,freeze
1987-01-15,regime,0.008956,-0.19,0.963,normal,0.016203,-1.01,0.716,freeze,0.016663,-1.51,0.676,freeze
1987-01-16,regime,0.009005,-0.16,0.968,normal,0.014907,-1.21,0.659,freeze,0.01535,-1.76,0.623,freeze
1987-01-19,regime,0.009021,-0.16,0.97,normal,0.014288,-1.31,0.632,freeze,0.017533,-1.35,0.712,freeze
1987-01-20,regime,0.010003,0.38,1.075,normal,0.014347,-1.3,0.634,freeze,0.016335,-1.58,0.663,freeze
1987-01-21,regime,0.010238,0.51,1.1,normal,0.014713,-1.24,0.651,freeze,0.016368,-1.57,0.664,freeze
