date,window,Au/USD_vol,Au/USD_z,Au/USD_ratio,Au/USD_state,Au/Equity_vol,Au/Equity_z,Au/Equity_ratio,Au/Equity_state,Au/Commodity_vol,Au/Commodity_z,Au/Commodity_ratio,Au/Commodity_state,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
2020-01-03,baseline,0.006989,-0.16,0.98,normal,0.00884,-0.5,0.935,normal,0.009229,-1.79,0.557,freeze,0.004129,-0.64,0.83,normal,0.009769,-2.78,0.607,freeze,0.011579,-1.99,0.726,freeze
2020-01-06,baseline,0.007319,0.21,1.026,normal,0.008971,-0.4,0.949,normal,0.00936,-1.76,0.565,freeze,0.004167,-0.61,0.837,normal,0.00976,-2.79,0.606,freeze,0.011544,-2.0,0.724,freeze
2020-01-07,baseline,0.005962,-1.29,0.836,freeze,0.007366,-1.71,0.779,freeze,0.007904,-2.11,0.477,freeze,0.00447,-0.38,0.898,normal,0.010326,-2.54,0.642,freeze,0.011674,-1.94,0.732,freeze
2020-01-08,baseline,0.006999,-0.15,0.981,normal,0.008218,-1.01,0.869,freeze,0.011912,-1.13,0.719,freeze,0.004352,-0.47,0.874,normal,0.016291,0.09,1.012,normal,0.017162,0.55,1.076,normal
2020-01-09,baseline,0.007251,0.13,1.017,normal,0.008607,-0.7,0.91,normal,0.011922,-1.13,0.72,freeze,0.004401,-0.43,0.884,normal,0.016258,0.07,1.01,normal,0.017161,0.55,1.076,normal
2020-01-10,baseline,0.007194,0.07,1.009,normal,0.008705,-0.62,0.92,normal,0.011925,-1.13,0.72,freeze,0.004423,-0.42,0.888,normal,0.016318,0.1,1.014,normal,0.017061,0.51,1.07,normal
2020-01-13,baseline,0.007276,0.16,1.02,normal,0.008887,-0.47,0.94,normal,0.011648,-1.2,0.703,freeze,0.004478,-0.38,0.899,normal,0.016588,0.22,1.031,normal,0.017621,0.76,1.105,normal
2020-01-14,baseline,0.0073,0.18,1.024,normal,0.00883,-0.51,0.934,normal,0.011501,-1.23,0.695,freeze,0.004546,-0.32,0.913,normal,0.01602,-0.03,0.995,normal,0.017187,0.56,1.078,normal
2020-01-15,baseline,0.007395,0.29,1.037,normal,0.008664,-0.65,0.916,normal,0.01166,-1.19,0.704,freeze,0.004305,-0.51,0.865,normal,0.016027,-0.03,0.996,normal,0.01725,0.59,1.082,normal
2020-01-16,baseline,0.007436,0.33,1.043,normal,0.009027,-0.35,0.954,normal,0.011811,-1.16,0.713,freeze,0.00446,-0.39,0.896,normal,0.016058,-0.02,0.998,normal,0.016999,0.48,1.066,normal
