date,window,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
1990-10-26,regime,0.015577,1.36,1.228,normal,0.069961,1.96,1.428,normal,0.076035,1.5,1.353,normal
1990-10-29,regime,0.013749,0.5,1.084,normal,0.070521,2.01,1.44,riot,0.075554,1.47,1.344,normal
1990-10-30,regime,0.013955,0.6,1.1,normal,0.068647,1.84,1.402,normal,0.073629,1.32,1.31,normal
1990-10-31,regime,0.01389,0.57,1.095,normal,0.066325,1.62,1.354,normal,0.071067,1.13,1.264,normal
1990-11-01,regime,0.014114,0.67,1.112,normal,0.066342,1.62,1.355,normal,0.071056,1.13,1.264,normal
1990-11-02,regime,0.014908,1.05,1.175,normal,0.066312,1.62,1.354,normal,0.071525,1.16,1.273,normal
1990-11-05,regime,0.014958,1.07,1.179,normal,0.066437,1.63,1.357,normal,0.072503,1.24,1.29,normal
1990-11-06,regime,0.014382,0.8,1.133,normal,0.065059,1.5,1.328,normal,0.070228,1.06,1.249,normal
1990-11-07,regime,0.014436,0.82,1.138,normal,0.068578,1.83,1.4,normal,0.075217,1.44,1.338,normal
1990-11-08,regime,0.014152,0.69,1.115,normal,0.067405,1.72,1.376,normal,0.073585,1.32,1.309,normal
1990-11-09,regime,0.014578,0.89,1.149,normal,0.067506,1.73,1.378,normal,0.07405,1.35,1.318,normal
1990-11-12,regime,0.01521,1.19,1.199,normal,0.06787,1.76,1.386,normal,0.07498,1.42,1.334,normal
1990-11-13,regime,0.015247,1.21,1.202,normal,0.067616,1.74,1.381,normal,0.07474,1.41,1.33,normal
1990-11-14,regime,0.015316,1.24,1.207,normal,0.066309,1.62,1.354,normal,0.074098,1.36,1.318,normal
1990-11-15,regime,0.014448,0.83,1.139,normal,0.065593,1.55,1.339,normal,0.074122,1.36,1.319,normal
