ticker,trigger_date,case,coil_days,pivot_date,pivot_close,pivot_vol,dry_last_ratio,dry_mean_ratio,max_daily_amp,pullback,notes
GTLB,2026-05-05,V2(C=2),2,2026-05-01,24.049999237060547,9894200.0,0.38094034889126965,0.4848143356714035,0.05127,0.01809,coil1.04% dry_last38%
KALV,2026-05-04,V2(C=3),3,2026-04-29,26.670000076293945,71372300.0,0.05795105384021532,0.1069079554206137,0.00263,0.0015,coil0.04% dry_last6%
RSI,2026-05-04,V2(C=3),3,2026-04-29,27.979999542236328,6405500.0,0.18955585044102724,0.292149975281659,0.04659,0.02395,coil2.07% dry_last19%
MICC,2026-05-04,V2(C=2),2,2026-04-30,14.930000305175781,7115300.0,0.20086292918077944,0.2643036836113727,0.04086,0.02344,coil2.14% dry_last20%
2318.HK,2026-05-04,V2(C=2),2,2026-04-29,63.70000076293945,80577081.0,0.22193205286252551,0.4216316051458851,0.02433,0.01334,coil0.39% dry_last22%
TII,2026-05-04,V2(C=2),2,2026-04-30,2.690000057220459,428100.0,0.2697967764540995,0.30238262088297124,0.05576,0.0223,coil0.74% dry_last27%
IRM,2026-05-04,V2(C=2),2,2026-04-30,125.98999786376953,5039300.0,0.29664834401603396,0.3864425614668704,0.02619,0.01072,coil0.82% dry_last30%
MTRN,2026-05-04,V2(C=2),2,2026-04-30,183.80999755859375,659900.0,0.29686316108501287,0.38278527049552963,0.05348,0.01083,coil0.64% dry_last30%
CNC,2026-05-04,V2(C=3),3,2026-04-29,53.97999954223633,17912300.0,0.2974604043031883,0.4121004375019772,0.02038,0.02149,coil0.65% dry_last30%
CARR,2026-05-04,V2(C=2),2,2026-04-30,66.93159484863281,15777700.0,0.31239661040582595,0.3890776222136306,0.03703,0.02699,coil2.23% dry_last31%
SFM,2026-05-04,V2(C=2),2,2026-04-30,81.8499984741211,5788900.0,0.31503394427265974,0.3977007721674239,0.03702,0.02224,coil0.61% dry_last32%
GNRC,2026-05-04,V2(C=3),3,2026-04-29,252.9199981689453,2278400.0,0.3166695926966292,0.49307993913857673,0.03101,0.0013,coil0.90% dry_last32%
CVLT,2026-05-04,V2(C=4),4,2026-04-28,97.9800033569336,1866000.0,0.3244372990353698,0.4004689174705252,0.0495,0.01051,coil3.01% dry_last32%
TGEN,2026-05-04,V2(C=2),2,2026-04-30,4.78000020980835,1162100.0,0.32690818346097583,0.3911453403321573,0.08996,0.00209,coil0.63% dry_last33%
ESI,2026-05-04,V2(C=3),3,2026-04-29,42.560001373291016,8027700.0,0.3302191163097774,0.40425028339374913,0.03395,0.0188,coil0.99% dry_last33%
TEVA,2026-05-04,V2(C=3),3,2026-04-29,35.380001068115234,22287100.0,0.3371546769207299,0.45219581432009254,0.03901,0.02459,coil1.13% dry_last34%
IEX,2026-05-04,V2(C=3),3,2026-04-29,216.56834411621094,1505700.0,0.36149299329215645,0.5289012862234619,0.03023,0.02356,coil1.62% dry_last36%
UMC,2026-05-04,V2(C=3),3,2026-04-29,12.75,25368600.0,0.3645569720047618,0.4353347576663014,0.05333,0.02353,coil0.63% dry_last36%
GOOGL,2026-05-04,V2(C=2),2,2026-04-30,384.79998779296875,72040000.0,0.3650555247084953,0.3914755691282621,0.02004,0.01494,coil0.63% dry_last37%
LION,2026-05-04,V2(C=5),5,2026-04-27,12.239999771118164,6431700.0,0.3801794237915326,0.4795590590357137,0.04582,0.02451,coil3.68% dry_last38%
UDR,2026-05-04,V2(C=2),2,2026-04-30,36.34000015258789,7403700.0,0.38140389264827046,0.43933438686062376,0.02504,0.01183,coil0.08% dry_last38%
CCC,2026-05-04,V2(C=2),2,2026-04-30,5.239999771118164,34418500.0,0.3873236776733443,0.4928134578787571,0.0687,0.00763,coil0.95% dry_last39%
XEL,2026-05-04,V2(C=2),2,2026-04-30,82.94999694824219,9105500.0,0.38991818131898304,0.4885124375377519,0.02083,0.02773,coil1.70% dry_last39%
EQR,2026-05-04,V2(C=3),3,2026-04-29,65.43000030517578,5544400.0,0.39549816030589424,0.488288483274415,0.02248,0.01406,coil0.32% dry_last40%
